"Title","Notes","Link","Format"
"Annual Earnings and Hours Survey","Annual Earnings and Hours Survey","https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-aehs","XLS"
"Approved Competent Persons for Locating Underground Electricity Cables","List of approved competent persons for locating underground electricity cables","https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-approved-competent-persons-for-locating-underground-electricity-cables","XLSX"
