"Title","Notes","Link","Format"
"9-day weather forecast","Provide 9-day weather forecast of Hong Kong","https://data.gov.hk/en-data/dataset/hk-hko-rss-9-day-weather-forecast","RSS"
"Current weather report","Provide current weather report of Hong Kong","https://data.gov.hk/en-data/dataset/hk-hko-rss-current-weather-report","RSS"
